polit,name,gender,birthyear,deathyear,liberal,ndp,cp,green,bq,prime_minister,minister,party_leader,senate_member,house_member,mayor,qid,url,page_name,page_lang,views_m1,views_m2,views_m3,views_m4,views_m5,views_m6,views_m7,views_m8,views_m9,views_m10,views_m11,views_m12
http://www.wikidata.org/entity/Q14949554,Walter Dinsdale,male,1916,1982,0,0,1,0,0,0,0,0,0,1,0,Q14949554,https://en.wikipedia.org/wiki/Walter_Dinsdale,Walter_Dinsdale,en,132,111,151,113,130,136,103,115,139,105,114,106
http://www.wikidata.org/entity/Q14949567,Hu Harries,male,1921,1986,1,0,0,0,0,0,0,0,0,1,0,Q14949567,https://en.wikipedia.org/wiki/Hu_Harries,Hu_Harries,en,83,82,88,118,109,77,75,85,94,94,98,78
http://www.wikidata.org/entity/Q14949580,Norman Platt Lambert,male,1885,1965,1,0,0,0,0,0,0,0,1,0,0,Q14949580,https://en.wikipedia.org/wiki/Norman_Platt_Lambert,Norman_Platt_Lambert,en,98,84,73,100,97,110,108,140,125,107,80,74
http://www.wikidata.org/entity/Q14949594,William Henry McGuire,male,1875,1957,1,0,0,0,0,0,0,0,1,0,0,Q14949594,https://en.wikipedia.org/wiki/William_Henry_McGuire,William_Henry_McGuire,en,61,40,59,101,63,53,66,52,59,56,56,45
http://www.wikidata.org/entity/Q14949601,Julia Munro,female,1942,2019,0,0,1,0,0,0,0,0,0,0,0,Q14949601,https://en.wikipedia.org/wiki/Julia_Munro,Julia_Munro,en,157,159,161,218,187,160,153,180,224,141,204,137
http://www.wikidata.org/entity/Q14949607,John O'Toole,male,1944,NA,0,0,1,0,0,0,0,0,0,0,0,Q14949607,https://en.wikipedia.org/wiki/John_O%27Toole,John_O%27Toole,en,1431,2527,1876,1204,1049,994,1151,8662,21984,1586,695,660
http://www.wikidata.org/entity/Q14949609,Landon Pearson,female,1930,NA,1,0,0,0,0,0,0,0,1,0,0,Q14949609,https://en.wikipedia.org/wiki/Landon_Pearson,Landon_Pearson,en,282,251,268,252,283,235,265,255,268,270,222,215
http://www.wikidata.org/entity/Q14949618,Tim Reid,male,1936,NA,1,0,0,0,0,0,0,0,0,0,0,Q14949618,https://en.wikipedia.org/wiki/Tim_Reid_(politician),Tim_Reid_(politician),en,109,98,110,104,115,90,92,111,114,92,117,154
http://www.wikidata.org/entity/Q14949619,John Morrow Robb,male,1876,1942,0,0,1,0,0,0,0,0,0,0,0,Q14949619,https://en.wikipedia.org/wiki/John_Morrow_Robb,John_Morrow_Robb,en,53,64,55,67,73,63,79,54,53,58,56,38
http://www.wikidata.org/entity/Q14949630,Ian Scott,male,1934,2006,1,0,0,0,0,0,0,0,0,0,0,Q14949630,https://en.wikipedia.org/wiki/Ian_Scott_(Ontario_politician),Ian_Scott_(Ontario_politician),en,331,333,284,336,529,423,357,331,387,410,478,214
http://www.wikidata.org/entity/Q14949632,Elizabeth Joan Smith,female,1928,2016,1,0,0,0,0,0,0,0,0,0,0,Q14949632,https://en.wikipedia.org/wiki/Elizabeth_Joan_Smith,Elizabeth_Joan_Smith,en,198,132,169,173,167,131,156,161,163,127,135,109
http://www.wikidata.org/entity/Q14949654,William Winegard,male,1924,2019,0,0,1,0,0,0,0,0,0,1,0,Q14949654,https://en.wikipedia.org/wiki/William_Winegard,William_Winegard,en,153,166,196,142,121,106,136,142,190,152,125,138
http://www.wikidata.org/entity/Q1500832,John Joseph Connolly,male,1906,1982,1,0,0,0,0,0,0,0,1,0,0,Q1500832,https://en.wikipedia.org/wiki/John_Joseph_Connolly,John_Joseph_Connolly,en,132,168,131,145,153,144,190,199,178,141,153,147
http://www.wikidata.org/entity/Q15053814,William Henry Chipman,male,1807,1870,1,0,0,0,0,0,0,0,0,1,0,Q15053814,https://en.wikipedia.org/wiki/William_Henry_Chipman,William_Henry_Chipman,en,72,46,64,55,57,65,63,67,72,62,42,54
http://www.wikidata.org/entity/Q15054353,Mélanie Joly,female,1979,NA,1,0,0,0,0,0,1,0,0,1,0,Q15054353,https://en.wikipedia.org/wiki/M%C3%A9lanie_Joly,M%C3%A9lanie_Joly,en,2797,4368,2587,3410,3470,3942,2347,4063,10092,35590,18587,21709
http://www.wikidata.org/entity/Q15063420,Erminie Cohen,female,1926,2019,0,0,1,0,0,0,0,0,1,0,0,Q15063420,https://en.wikipedia.org/wiki/Erminie_Cohen,Erminie_Cohen,en,100,70,109,117,109,70,116,93,99,102,93,68
http://www.wikidata.org/entity/Q1506900,Robert James Manion,male,1881,1943,1,0,1,0,0,0,0,0,0,1,0,Q1506900,https://en.wikipedia.org/wiki/Robert_James_Manion,Robert_James_Manion,en,262,285,283,308,312,297,413,357,404,356,333,364
http://www.wikidata.org/entity/Q1507667,George Johnson,male,1920,1995,0,0,1,0,0,0,0,0,0,0,0,Q1507667,https://en.wikipedia.org/wiki/George_Johnson_(Manitoba_politician),George_Johnson_(Manitoba_politician),en,148,101,109,121,112,107,125,117,103,125,148,67
http://www.wikidata.org/entity/Q1508058,George Pearkes,male,1888,1984,0,0,1,0,0,0,0,0,0,1,0,Q1508058,https://en.wikipedia.org/wiki/George_Pearkes,George_Pearkes,en,618,591,622,635,662,578,507,709,643,685,632,554
http://www.wikidata.org/entity/Q1508145,George Reginald Geary,male,1872,1954,0,0,1,0,0,0,0,0,0,1,1,Q1508145,https://en.wikipedia.org/wiki/George_Reginald_Geary,George_Reginald_Geary,en,166,159,183,227,157,149,145,157,167,154,293,253
http://www.wikidata.org/entity/Q1508211,George Sterling Ansel Ryerson,male,1855,1925,0,0,1,0,0,0,0,0,0,0,0,Q1508211,https://en.wikipedia.org/wiki/George_Ryerson,George_Ryerson,en,133,145,168,147,167,609,173,331,249,163,252,171
