polit,politLabel,positionLabel,genderLabel,birthyear,deathyear,partyLabel
http://www.wikidata.org/entity/Q2580406,William Ross Macdonald,member of the House of Commons of Canada,male,1891,1976,Liberal Party of Canada
http://www.wikidata.org/entity/Q2580406,William Ross Macdonald,member of the Senate of Canada,male,1891,1976,Liberal Party of Canada
http://www.wikidata.org/entity/Q2594246,Paul Sauvé,Premier of Quebec,male,1907,1960,Union Nationale
http://www.wikidata.org/entity/Q2594246,Paul Sauvé,Member of the National Assembly of Quebec,male,1907,1960,Union Nationale
http://www.wikidata.org/entity/Q2594246,Paul Sauvé,Minister of Youth,male,1907,1960,Union Nationale
http://www.wikidata.org/entity/Q2602826,Albert Norton Richards,Lieutenant Governor of British Columbia,male,1821,1897,Liberal Party of Canada
http://www.wikidata.org/entity/Q2602826,Albert Norton Richards,member of the House of Commons of Canada,male,1821,1897,Liberal Party of Canada
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,member of the House of Commons of Canada,female,1944,2022,New Democratic Party
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,member of the House of Commons of Canada,female,1944,2022,Liberal Party of Canada
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,member of the Nova Scotia House of Assembly,female,1944,2022,New Democratic Party
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,member of the Nova Scotia House of Assembly,female,1944,2022,Liberal Party of Canada
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,leader of the New Democratic Party of Canada,female,1944,2022,New Democratic Party
http://www.wikidata.org/entity/Q2604970,Alexa McDonough,leader of the New Democratic Party of Canada,female,1944,2022,Liberal Party of Canada
http://www.wikidata.org/entity/Q2621297,Alexander Morris,member of the Ontario Provincial Parliament,male,1826,1889,Progressive Conservative Party of Ontario
http://www.wikidata.org/entity/Q2621297,Alexander Morris,member of the Ontario Provincial Parliament,male,1826,1889,Conservative Party of Canada
http://www.wikidata.org/entity/Q2621297,Alexander Morris,Lieutenant Governor of Manitoba,male,1826,1889,Progressive Conservative Party of Ontario
http://www.wikidata.org/entity/Q2621297,Alexander Morris,Lieutenant Governor of Manitoba,male,1826,1889,Conservative Party of Canada
http://www.wikidata.org/entity/Q2621297,Alexander Morris,member of the House of Commons of Canada,male,1826,1889,Progressive Conservative Party of Ontario
http://www.wikidata.org/entity/Q2621297,Alexander Morris,member of the House of Commons of Canada,male,1826,1889,Conservative Party of Canada
http://www.wikidata.org/entity/Q2644939,Alfred Ernest Fripp,member of the House of Commons of Canada,male,1866,1938,Conservative Party of Canada
http://www.wikidata.org/entity/Q2644939,Alfred Ernest Fripp,member of the Senate of Canada,male,1866,1938,Conservative Party of Canada
http://www.wikidata.org/entity/Q2647990,Allan A. Lamport,member of the Ontario Provincial Parliament,male,1903,1999,Ontario Liberal Party
http://www.wikidata.org/entity/Q2647990,Allan A. Lamport,alderman,male,1903,1999,Ontario Liberal Party
http://www.wikidata.org/entity/Q2647990,Allan A. Lamport,Mayor of Toronto,male,1903,1999,Ontario Liberal Party
http://www.wikidata.org/entity/Q2657299,John A. Charlton,member of the House of Commons of Canada,male,1907,1977,Progressive Conservative Party of Canada
http://www.wikidata.org/entity/Q2657327,John M. Charlton,member of the House of Commons of Canada,male,1829,1910,Liberal Party of Canada
http://www.wikidata.org/entity/Q2659324,John Otho Chapman,Member of the Legislative Assembly of Saskatchewan,male,1931,2011,Saskatchewan New Democratic Party
http://www.wikidata.org/entity/Q2662141,Thomas Harold Wood,member of the Senate of Canada,male,1889,1965,Liberal Party of Canada
http://www.wikidata.org/entity/Q2730078,John Fisher Wood,member of the House of Commons of Canada,male,1852,1899,Liberal Party of Canada
http://www.wikidata.org/entity/Q2158559,Robert Randolph Bruce,Lieutenant Governor of British Columbia,male,1861,1942,Liberal Party of Canada
http://www.wikidata.org/entity/Q2158866,Robert Stanbury,member of the House of Commons of Canada,male,1929,2017,Liberal Party of Canada
http://www.wikidata.org/entity/Q2161895,Roger Teillet,member of the House of Commons of Canada,male,1912,2002,Liberal Party of Canada
http://www.wikidata.org/entity/Q2165566,Ron Basford,member of the House of Commons of Canada,male,1932,2005,Liberal Party of Canada
http://www.wikidata.org/entity/Q2271150,Louis-Joseph Papineau,Member of the  Legislative Assembly of Lower Canada,male,1786,1871,Parti canadien
http://www.wikidata.org/entity/Q2271150,Louis-Joseph Papineau,Member of the  Legislative Assembly of Lower Canada,male,1786,1871,Patriote movement
http://www.wikidata.org/entity/Q2279397,Ted Nebbeling,member of the Legislative Assembly of British Columbia,male,1944,2009,British Columbia Liberal Party
http://www.wikidata.org/entity/Q2287486,Simon Fraser Tolmie,Premier of British Columbia,male,1867,1937,Conservative Party of Canada
http://www.wikidata.org/entity/Q2287486,Simon Fraser Tolmie,Premier of British Columbia,male,1867,1937,Unionist Party
http://www.wikidata.org/entity/Q2287486,Simon Fraser Tolmie,member of the House of Commons of Canada,male,1867,1937,Conservative Party of Canada
http://www.wikidata.org/entity/Q2287486,Simon Fraser Tolmie,member of the House of Commons of Canada,male,1867,1937,Unionist Party
http://www.wikidata.org/entity/Q2357880,Stuart Garson,Premier of Manitoba,male,1898,1977,Liberal Party of Canada
http://www.wikidata.org/entity/Q2357880,Stuart Garson,member of the House of Commons of Canada,male,1898,1977,Liberal Party of Canada
http://www.wikidata.org/entity/Q2357880,Stuart Garson,member of the Legislative Assembly of Manitoba,male,1898,1977,Liberal Party of Canada
http://www.wikidata.org/entity/Q2362379,Joseph-Achille Francoeur,Member of the National Assembly of Quebec,male,1882,1959,Parti libéral du Québec
http://www.wikidata.org/entity/Q2362681,Louis Coderre,member of the House of Commons of Canada,male,1865,1935,Conservative Party of Canada
http://www.wikidata.org/entity/Q2363778,Léopold Demers,member of the House of Commons of Canada,male,1912,1990,Liberal Party of Canada
http://www.wikidata.org/entity/Q2372307,George Frederick Baird,member of the House of Commons of Canada,male,1851,1899,Conservative Party of Canada
http://www.wikidata.org/entity/Q2378690,Robert Gardiner,member of the House of Commons of Canada,male,1879,1945,United Farmers of Alberta
http://www.wikidata.org/entity/Q2378690,Robert Gardiner,member of the House of Commons of Canada,male,1879,1945,Progressive Party of Canada
http://www.wikidata.org/entity/Q2379317,Follin Horace Pickel,member of the House of Commons of Canada,male,1866,1949,Conservative Party of Canada
http://www.wikidata.org/entity/Q2384175,Guy Lechasseur,Member of the National Assembly of Quebec,male,1916,2005,Parti libéral du Québec
http://www.wikidata.org/entity/Q2385829,J.-Eugène Lefrançois,member of the House of Commons of Canada,male,1896,1979,Liberal Party of Canada
http://www.wikidata.org/entity/Q2385829,J.-Eugène Lefrançois,member of the Senate of Canada,male,1896,1979,Liberal Party of Canada
http://www.wikidata.org/entity/Q2401827,Guillaume Cheval dit St-Jacques,mayor,male,1828,1880,Liberal Party of Canada
http://www.wikidata.org/entity/Q2401827,Guillaume Cheval dit St-Jacques,member of the House of Commons of Canada,male,1828,1880,Liberal Party of Canada
http://www.wikidata.org/entity/Q2402044,Deepak Obhrai,member of the House of Commons of Canada,male,1950,2019,Conservative Party of Canada
http://www.wikidata.org/entity/Q2402044,Deepak Obhrai,Minister for International Development,male,1950,2019,Conservative Party of Canada
http://www.wikidata.org/entity/Q2402217,Joseph Godbout,mayor,male,1850,1923,Liberal Party of Canada
http://www.wikidata.org/entity/Q2402217,Joseph Godbout,member of the House of Commons of Canada,male,1850,1923,Liberal Party of Canada
http://www.wikidata.org/entity/Q2402217,Joseph Godbout,member of the Senate of Canada,male,1850,1923,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403484,Clovis-Thomas Richard,member of the House of Commons of Canada,male,1892,1976,Liberal Party of Canada
http://www.wikidata.org/entity/Q2403484,Clovis-Thomas Richard,member of the Legislative Assembly of New Brunswick,male,1892,1976,Liberal Party of Canada
http://www.wikidata.org/entity/Q2404028,Thomas Reuben Black,member of the Senate of Canada,male,1832,1905,Liberal Party of Canada
http://www.wikidata.org/entity/Q2404028,Thomas Reuben Black,member of the Senate of Canada,male,1832,1905,Nova Scotia Liberal Party
http://www.wikidata.org/entity/Q2404274,Hector Caron,Member of the National Assembly of Quebec,male,1862,1937,Parti libéral du Québec
http://www.wikidata.org/entity/Q2405367,Joseph Louis Euclide Dugas,member of the House of Commons of Canada,male,1861,1943,Conservative Party of Canada
http://www.wikidata.org/entity/Q2411407,Alphide Sabourin,mayor,male,1886,1957,Parti libéral du Québec
http://www.wikidata.org/entity/Q2412368,Georges Parent,Speaker of the Senate,male,1879,1942,Liberal Party of Canada
http://www.wikidata.org/entity/Q2412368,Georges Parent,member of the House of Commons of Canada,male,1879,1942,Liberal Party of Canada
http://www.wikidata.org/entity/Q2412368,Georges Parent,member of the Senate of Canada,male,1879,1942,Liberal Party of Canada
http://www.wikidata.org/entity/Q2414203,Ulphée-Wilbrod Rousseau,Member of the National Assembly of Quebec,male,1882,1967,Action libérale nationale
http://www.wikidata.org/entity/Q2418616,Theodore Arthur Burrows,Lieutenant Governor of Manitoba,male,1857,1929,Liberal Party of Canada
http://www.wikidata.org/entity/Q2423515,Thomas Dufferin Pattullo,Premier of British Columbia,male,1873,1956,British Columbia Liberal Party
http://www.wikidata.org/entity/Q2423950,Thomas Foster,Mayor of Toronto,male,1852,1945,Unionist Party
http://www.wikidata.org/entity/Q2424330,Thomas Greenway,Premier of Manitoba,male,1838,1908,Liberal Party of Canada
http://www.wikidata.org/entity/Q2424330,Thomas Greenway,member of the Legislative Assembly of Manitoba,male,1838,1908,Liberal Party of Canada
http://www.wikidata.org/entity/Q2424622,Thomas Heath Haviland,Lieutenant Governor of Prince Edward Island,male,1822,1895,Conservative Party of Canada
http://www.wikidata.org/entity/Q2424622,Thomas Heath Haviland,member of the Senate of Canada,male,1822,1895,Conservative Party of Canada
http://www.wikidata.org/entity/Q2426599,Thomas William Lemuel Prowse,Lieutenant Governor of Prince Edward Island,male,1888,1973,Prince Edward Island Liberal Party
http://www.wikidata.org/entity/Q2437944,Tobias Norris,Premier of Manitoba,male,1861,1936,Manitoba Liberal Party
http://www.wikidata.org/entity/Q2170864,Roy MacLaren,Minister of International Trade,male,1934,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2170864,Roy MacLaren,Minister of National Revenue,male,1934,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2170864,Roy MacLaren,member of the House of Commons of Canada,male,1934,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2178668,Réal Ménard,member of the House of Commons of Canada,male,1962,NA,Bloc Québécois
http://www.wikidata.org/entity/Q2178668,Réal Ménard,member of the House of Commons of Canada,male,1962,NA,Vision Montreal
http://www.wikidata.org/entity/Q2178668,Réal Ménard,member of the House of Commons of Canada,male,1962,NA,Coalition Montréal
http://www.wikidata.org/entity/Q2178668,Réal Ménard,member of the House of Commons of Canada,male,1962,NA,Ensemble Montréal
http://www.wikidata.org/entity/Q2272463,Serge Joyal,member of the House of Commons of Canada,male,1945,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2272463,Serge Joyal,member of the House of Commons of Canada,male,1945,NA,Senate Liberal Caucus
http://www.wikidata.org/entity/Q2272463,Serge Joyal,member of the Senate of Canada,male,1945,NA,Liberal Party of Canada
http://www.wikidata.org/entity/Q2272463,Serge Joyal,member of the Senate of Canada,male,1945,NA,Senate Liberal Caucus
http://www.wikidata.org/entity/Q2344954,Stephen Mandel,member of Alberta Legislative Assembly,male,1945,NA,Progressive Conservative Association of Alberta
http://www.wikidata.org/entity/Q2344954,Stephen Mandel,Mayor of Edmonton,male,1945,NA,Progressive Conservative Association of Alberta
http://www.wikidata.org/entity/Q2347478,Steven Blaney,member of the House of Commons of Canada,male,1965,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2347478,Steven Blaney,Substitute member of the Parliamentary Assembly of the Council of Europe,male,1965,NA,Conservative Party of Canada
http://www.wikidata.org/entity/Q2361540,Yvon Pinard,Leader of the Government in the House of Commons,male,1940,NA,Liberal Party of Canada
