name,party,page_views
Ben Jessome,Liberal,1654
Lloyd Hines,Liberal,1143
Stephen Gough,Liberal,326
Terry Farrell,Liberal,602
Randy Delorey,Liberal,10021
John Lohr,CPC,1579
Larry Harrison,CPC,784
Joachim Stroink,Liberal,1206
Labi Kousoulis,Liberal,8525
Mark Furey,Liberal,2199
Lena Diab,Liberal,9665
Ted Falk,CPC,4693
Glen Clark,NDP,13122
Glen Murray,Liberal,10870
Richard Hatfield,CPC,8712
René Brunelle,CPC,489
Gérard Pelletier,Liberal,2530
Gordon Lockhart Bennett,Liberal,394
Robert Duncan Wilmot,CPC,731
Charles Hubbard,Liberal,646
Grant MacEwan,Liberal,6629
Howard Waldemar Winkler,Liberal,335
Richard Alleyn,CPC,89
Hugh McKay Sutherland,Liberal,196
Francis Wayland Glen,Liberal,116
James Atchison Skinner,Liberal,99
Moses H. Nickerson,Liberal,85
Étienne-Théodore Pâquet,CPC,148
Victor Châteauvert,CPC,133
Matthew Henry Cochrane,CPC,941
William McLean Hamilton,CPC,340
Jean-François Bertrand,BQ,461
Ernest Frederick Armstrong,CPC,94
Jean Côté,Liberal,631
Herb Gray,Liberal,9447
Frank Smith,CPC,317
Henry Smith,CPC,297
John William Woolf,Liberal,283
Walter Baker,CPC,820
Robert Ogle,NDP,732
Malcolm Colin Cameron,Liberal,291
John Kenneth Gormley,CPC,4233
Ian Murray,Liberal,397
James Snow,CPC,1650
Janice MacKinnon,NDP,1609
Michael J. L. Kirby,Liberal,1176
Tony Ruprecht,Liberal,1078
John Roland Sweeney,Liberal,447
Ian Waddell,NDP,22936
Louis-Rodrigue Masson,CPC,429
Stockwell Day,CPC,31613
Guy Favreau,Liberal,1533
Paul Cosgrove,Liberal,1032
Pierre Lemieux,CPC,3667
Jim McDonell,CPC,1484
Rob Nicholson,CPC,9952
Jagrup Brar,NDP,2641
Shannon Martin,CPC,2448
Doyle Piwniuk,CPC,609
Henry William McKenney,Liberal,353
Harold Connolly,Liberal,959
Harvey Veniot,CPC,265
Hector-Louis Langevin,CPC,14444
Florence Elsie Inman,Liberal,199
William Sloan,Liberal,205
John Herron,Liberal,101
John Stanfield,CPC,770
William Ashbury Buchanan,Liberal,337
Gordon Benjamin Isnor,Liberal,345
John Tolmie,Liberal,122
James Kelleher,CPC,705
John Melville Turner,CPC,479
James Fraser Bryant,CPC,112
Norman Alexander McLarty,Liberal,184
James Albert Faulkner,Liberal,146
William Abram Kribs,CPC,125
Harold Edward Welsh,CPC,106
Henry Herbert Horsey,Liberal,110
Robert McKenzie,Liberal,165
Guillaume-André Fauteux,CPC,88
William Charles Sutherland,Liberal,221
William Esling,CPC,107
William Chisholm Macdonald,Liberal,51
Harold William Hounsfield Riley,CPC,215
John Carrère,CPC,79
James J. Donnelly,CPC,294
Arthur Jolley,CPC,111
Edmund MacGillivray,Liberal,32
Moses Elijah McGarry,Liberal,78
James Murdock,Liberal,173
Gordon Fogo,Liberal,82
John Edward Gryde,CPC,57
Lewis Herbert Martell,Liberal,70
William White,CPC,147
Elmer Brandon,CPC,134
Harry Butcher,Liberal,110
Harry Gladstone Clarke,CPC,143
James R. Lowery,CPC,229
Joseph James Duffus,Liberal,223
Fletcher Stewart Thomas,CPC,170
John Arthur McCue,CPC,126
Harry James Barber,CPC,669
Hugh Clark,CPC,195
John Power Howden,Liberal,104
Hayden Stanton,CPC,70
William Anderson,CPC,105
William Collings,CPC,21
William Alexander McMaster,CPC,79
James William Maddin,CPC,79
James Joseph McCann,Liberal,380
William Alexander Fraser,Liberal,220
Stanley Hall,CPC,104
Newton Manly Young,CPC,78
Kenneth Daniel,CPC,505
John Thomas Simpson,CPC,119
Robert Gibson,Liberal,136
Thomas Andrew Murray Kirk,Liberal,115
Lloyd Letherby,CPC,58
James Forgie,Liberal,168
Carl Hanniwell,CPC,79
Nancy Hodges,Liberal,517
Neil Leverne Olde,CPC,89
John Smith Stewart,CPC,348
George Gordon,Liberal,131
William Sandercock,CPC,83
Jesse Pickard Tripp,Liberal,85
Bill Noden,CPC,123
James Allen Byrne,Liberal,165
James Augustine Power,Liberal,72
Jim Barrie,Liberal,138
Keith Butler,CPC,50
Hugh Carruthers,CPC,101
Joseph Warner Murphy,CPC,111
Leslie Mutch,Liberal,116
James Ormiston,CPC,84
J. Fred Edwards,CPC,171
William McLennan,CPC,143
J. Trevor Morgan,CPC,177
Norris Whitney,CPC,98
Gordon Innes,Liberal,152
Hayden William Owens,NDP,110
Paul Desruisseaux,Liberal,190
Ellis Morningstar,CPC,253
Dick Sutton,CPC,134
Bill Goodfellow,CPC,232
Gordon Pittock,CPC,161
John Richard Simonett,CPC,97
Osie Villeneuve,CPC,228
John Kushner,CPC,384
Gordon Drummond Clancy,CPC,77
John Keith McBroom Laird,Liberal,76
James Auburn Pepper,NDP,156
Ray Connell,CPC,172
Ted Freeman,NDP,189
Bev Lewis,CPC,237
Albert Walker,CPC,203
John MacLean,CPC,118
John Dahmer,CPC,1516
Paul Lafond,Liberal,135
Jules Morin,CPC,145
David Arthur Evans,CPC,122
Jim Jessiman,CPC,155
James Trotter,Liberal,306
John Boyle Chapple,Liberal,168
Marvin Gelber,Liberal,264
Merv Leitch,CPC,430
Lawrence Watson,CPC,109
Mary Elizabeth Kinnear,Liberal,273
John Henry Haines Root,CPC,120
Richard Taylor,CPC,95
Neil Stanley Crawford,CPC,658
Nels Nelson,NDP,88
Guy Williams,Liberal,259
William Erskine Johnston,CPC,258
Ada Pritchard,CPC,307
