name,party,page_views
Georges-Émile Lapalme,Liberal,1078
Georges Ball,CPC,81
Georges Dorèze Morin,Liberal,40
Georges Farrah,Liberal,378
Georges Henri Boivin,Liberal,159
Georges Lafontaine,CPC,84
Georges Turcot,Liberal,42
Georges Villeneuve,Liberal,115
Gerald Hugh Brabazon,CPC,110
Gerald Comeau,CPC,271
Gerald Keddy,CPC,1286
Gerry Byrne,Liberal,3076
Gerry Ritz,CPC,2721
Gerry St. Germain,CPC,1108
Gerry Weiner,CPC,1566
Ghislain Fournier,BQ,308
Ghislain Lebel,BQ,328
Gilbert Barrette,Liberal,125
Gilbert Fillion,BQ,210
Gilbert Anselme Girouard,Liberal,160
Gilbert Normand,Liberal,254
Gilbert Parent,Liberal,2153
Gilbert Ganong,Liberal,672
Gildas Molgat,Liberal,886
Gilles Perron,BQ,213
Gilles Bernier,CPC,18160
Gilles Bisson,NDP,3364
Gilles Grondin,Liberal,446
Gilles Loiselle,CPC,1167
Gilles Marceau,Liberal,137
Glen Pearson,Liberal,1300
Glen Savoie,CPC,699
Glen Tait,CPC,95
Gord Brown,CPC,2558
Gordon Aiken,CPC,195
Gordon Daniel Conant,Liberal,1562
Gordon Fairweather,CPC,472
Grant Crack,Liberal,611
Grattan O'Leary,CPC,343
Greg Davis,CPC,307
Greg Kerr,CPC,1092
Greg Sorbara,Liberal,8043
Greg Thompson,CPC,9425
Michael Ignatieff,Liberal,93540
Guillaume-Alphonse Nantel,CPC,120
Guillaume Amyot,CPC,115
Guillaume Gamelin Gaucher,CPC,123
Gurbax Singh Malhi,Liberal,5000
Gustave-Adolphe-Narcisse Turcotte,Liberal,127
Gustave Benjamin Boyer,Liberal,104
Gustave Blouin,Liberal,88
Gustave Côté,Liberal,32
Joseph-Henri-Gustave Lacasse,Liberal,190
Gustave Roy,Liberal,734
Guy André,BQ,493
Guy Arseneault,Liberal,678
Guy Caron,NDP,5476
Guy Charbonneau,CPC,683
Guy Crossman,Liberal,96
Guy Côté,BQ,216
Guy Lauzon,CPC,1425
Guy LeBlanc,CPC,191
Guy Ricard,CPC,103
Guy Rouleau,Liberal,173
Guy St-Julien,Liberal,318
Gédéon Rochon,CPC,94
Gérald Laniel,Liberal,74
Gérard Binet,Liberal,133
Gérard Bruchési,CPC,45
Gérard Deltell,CPC,16463
Gérard Duquet,Liberal,106
Gérard Girouard,CPC,63
Gérard Loiselle,Liberal,118
Gérard Légaré,Liberal,100
Gérard Ouellet,CPC,200
Harold Monteith,CPC,46
Hal Herbert,Liberal,236
Harry Fulton McLeod,CPC,181
Harry Nixon,Liberal,3080
Heber Harold Hatfield,CPC,207
Hector Authier,Liberal,146
Hector Dupuis,Liberal,264
Hedley Francis Gregory Bridges,Liberal,156
Hedy Fry,Liberal,27780
Henri-Edgar Lavigueur,Liberal,175
Henri-Gédéon Malhiot,CPC,44
Henri-Thomas Taschereau,Liberal,157
Henri Bernier,Liberal,88
Henri Bourassa,Liberal,17323
Henri Courtemanche,CPC,181
Henri Gosselin,Liberal,182
Henri Sévérin Béland,Liberal,305
Henri Tousignant,Liberal,131
Henry Aylmer,Liberal,85
Henry Edgarton Allen,Liberal,130
Henry Hicks,Liberal,1323
Henry Lovell,Liberal,104
Henry Absalom Powell,Liberal,82
Henry Read Emmerson,Liberal,242
Henry Emmerson,Liberal,906
Henry Simard,Liberal,106
Henry Stanislas Harwood,Liberal,195
Herb Dhaliwal,Liberal,5758
Herb Grubel,CPC,1145
Herbert Ames,CPC,431
Herbert James Palmer,Liberal,360
Herbert Meredith Marler,Liberal,328
Hercule Dupré,Liberal,117
Herman Laverdière,Liberal,48
Hermas Deslauriers,Liberal,160
Herménégilde Boulay,CPC,124
Hervé-Edgar Brunelle,Liberal,139
Hervé Michaud,Liberal,85
Hilaire Hurteau,Liberal,52
Hilarion-Pit Lessard,Liberal,118
Hippolyte Montplaisir,Liberal,74
Hiram Blanchard,Liberal,1372
Hoang Mai,NDP,1652
Honoré Achim,Liberal,160
Honoré Hippolyte Achille Gervais,Liberal,86
Hormidas Jeannotte,CPC,35
Hormidas Mayrand,Liberal,130
Howard Ferguson,CPC,2631
Howard Hampton,NDP,5467
Ted Flemming,CPC,2508
Hugh Havelock McLean,Liberal,293
Hugh John Flemming,CPC,2248
Hugh McMillan,CPC,137
Hugh Segal,CPC,6516
Hyacinthe-Adélard Fortier,Liberal,149
Hélène Laverdière,NDP,4125
Hélène LeBlanc,NDP,1159
Hélène Scherrer,Liberal,390
Irene Mathyssen,NDP,2721
Irénée Pelletier,Liberal,206
Isabelle Morin,NDP,811
Isidore-Noël Belleau,CPC,90
Isidore Thibaudeau,Liberal,178
Izzy Asper,Liberal,12416
Alphée Poirier,Liberal,98
J. Antonio Thomas,Liberal,41
J.-Eugène Bissonnette,CPC,59
J.-Armand Ménard,Liberal,65
J.-Eugène Tétreault,CPC,43
J.-Georges Ratelle,Liberal,42
J.-Wilfrid Dufresne,CPC,31
J.-Émile Ferron,Liberal,38
Jabez Bunting Snowball,Liberal,511
Jack Carr,CPC,1150
Jacob Nicol,Liberal,250
Jacques Philippe Lantier,CPC,100
Jacques-Raymond Tremblay,Liberal,124
Jacques Bureau,Liberal,359
Jacques Flynn,CPC,570
Jacques Guilbault,Liberal,171
Jacques Hébert,Liberal,1289
Jacques Lavoie,Liberal,234
Jacques Léonard,BQ,267
Jacques Olivier,Liberal,532
Jacques Saada,Liberal,1566
Jacques Tétreault,CPC,333
Jacques Vien,CPC,76
Jake Stewart,CPC,NA
James Alexander Murray,CPC,265
James Robb,Liberal,439
James Bezan,CPC,6843
James Boyle Uniacke,Liberal,1222
James Colledge Pope,CPC,1118
James Crocket Wilson,Liberal,104
James David Stewart,CPC,263
James Domville,Liberal,273
Jack Patterson,Liberal,95
James Horace King,Liberal,412
James John Edmund Guerin,Liberal,592
James Kidd Flemming,CPC,582
James Kirkpatrick Kerr,Liberal,209
James Lunney,CPC,862
James Lee,CPC,751
James McShane,Liberal,453
James Moffat Douglas,Liberal,146
James Moore,CPC,10232
James Morris,CPC,61
James Patrick Mullins,Liberal,87
James Pollock Brown,Liberal,71
James Rajotte,CPC,1474
James Robinson,CPC,77
Russell Keays,CPC,141
James Whitney,CPC,2484
James William Bain,CPC,55
James Wright McGibbon,Liberal,40
Jamie Nicholls,NDP,2019
Jane Stewart,Liberal,2574
Jasbir Sandhu,NDP,1205
Jason Kenney,CPC,322922
Jay Hill,CPC,23120
Jean Baptiste Blanchet,Liberal,73
Jean-Baptiste Daoust,CPC,110
Jean-Baptiste Labelle,CPC,63
Jean-Baptiste Pouliot,Liberal,70
Jean-Baptiste Rolland,CPC,168
Jean-Baptiste Romuald Fiset,Liberal,157
Jean-Charles Cantin,Liberal,111
Jean-Charles Richard Berger,Liberal,107
Jean-Claude D'Amours,Liberal,674
Jean-Claude Malépart,Liberal,629
Jean-Claude Rivest,CPC,236
Jean-Docile Brousseau,CPC,102
Jean-François Fortin,BQ,1623
Jean-François Guité,Liberal,152
Jean-François Larose,NDP,929
Jean-François Pouliot,Liberal,215
Jean-Guy Carignan,Liberal,235
Jean-Guy Chrétien,BQ,593
Jean-Guy Dubois,Liberal,116
Jean-Guy Guilbault,CPC,97
Jean-Guy Hudon,CPC,333
Jean-Jacques Martel,CPC,1378
Jean-Joseph Denis,Liberal,94
Jean-Louis Baribeau,CPC,158
Jean-Louis Beaudry,CPC,770
Jean-Louis Leduc,Liberal,179
Jean-Luc Joncas,CPC,85
Jean-Léo Rochon,Liberal,197
Jean-Marc Lalonde,Liberal,648
Jean-Marie Poitras,CPC,93
Jean-Maurice Simard,CPC,229
Jean-Noël Tremblay,CPC,241
John Paul Harney,NDP,954
Jean-Paul Marchand,BQ,159
Jean-Paul Matte,Liberal,91
Jean-Paul Racine,Liberal,310
Jean-Paul St. Laurent,Liberal,2189
Jean-Pierre Blackburn,CPC,1223
Jean-Pierre Hogue,CPC,221
Jean-Robert Gauthier,Liberal,964
Jean-Yves Laforest,BQ,267
Jean-Yves Roy,BQ,222
Jean Alfred Gagné,CPC,148
Jean Auguste Ross,Liberal,116
Jean Augustine,Liberal,24446
Jean-Baptiste Mongenais,CPC,34
Jean Boucher,Liberal,162
John George Bourinot,Liberal,297
Jean Corbeil,CPC,508
Jean Crowder,NDP,827
Jean Dorion,BQ,435
Jean Gauvin,CPC,383
Jean George Robichaud,Liberal,160
Jean Langlois,CPC,258
Jean Lapierre,Liberal,9069
Jean Lapointe,Liberal,3364
Jean Le Moyne,Liberal,257
Jean Noël Desmarais,CPC,669
Jean Pelletier,Liberal,2524
Jean Poirier,Liberal,362
Jean Rousseau,Green,1228
Jeff Watson,CPC,1615
Jeffrey Alexandre Rousseau,Liberal,114
Jeremiah Smith Boies De Veber,Liberal,174
Jerry Grafstein,Liberal,2265
Jack Layton,NDP,169614
Jim Abbott,CPC,647
Jim Dinning,CPC,2397
Jim Hawkes,CPC,2603
Jim Hillyer,CPC,2436
Jim Karygiannis,Liberal,6545
Jim Parrott,CPC,246
Jim Peterson,Liberal,2523
Jinny Sims,NDP,3123
Joan Fraser,Liberal,693
Joan MacAlpine-Stiles,CPC,253
Jocelyne Girard-Bujold,BQ,137
Jody Carr,CPC,926
Joe Comartin,NDP,2159
Joe Comuzzi,Liberal,1507
Joe Daniel,CPC,2287
Joe Fontana,Liberal,3326
Joe Ghiz,Liberal,3598
Joe Preston,CPC,1653
Joe Volpe,Liberal,6007
Johanne Deschamps,BQ,183
John Alexander Chesley,CPC,108
John Alexander Mathieson,CPC,316
John Alexander Sullivan,CPC,143
John Babington Macaulay Baxter,CPC,574
John Bolton,Liberal,113
John Boyd,Liberal,161
John Bryson,CPC,248
John Buchanan,CPC,3566
John Campbell,Liberal,245
John Campbell Elliott,Liberal,194
John Cannis,Liberal,1538
John Carmichael,CPC,929
John Clarke Moore,CPC,61
John Costigan,Liberal,526
John Cummins,CPC,1380
John Douglas Hazen,CPC,795
John Duncan,CPC,2409
John Ferris,Liberal,213
John G. Bryden,Liberal,304
John Glasier,Liberal,109
John Godfrey,Liberal,3217
John Hamm,CPC,15023
John Hearn,CPC,329
John Henry Pope,Liberal,417
Hugh Proudfoot,Liberal,122
John James Fraser,CPC,427
John Joseph Curran,CPC,300
John Le Boutillier,CPC,352
John Matheson,Liberal,2595
John McAdam,Liberal,287
John McAlister,Liberal,221
John McCallum,Liberal,13688
John McIntosh,CPC,136
John McKay,Liberal,7474
John Morrissy,Liberal,133
John Nunziata,Liberal,6325
John Patrick Barry,Liberal,132
John Poupore,CPC,128
John Robbins Sanborn,Liberal,90
"Sir John Rose, 1st Baronet",CPC,1815
John Ross,CPC,1011
John Savage,Liberal,5030
John Short,CPC,52
John Thomas Hackett,CPC,309
John Valentine Ellis,Liberal,205
John Wallace,Liberal,231
John Walter Jones,Liberal,383
John Waterhouse Daniel,CPC,120
John William Maloney,Liberal,96
John G. Williams,CPC,84
John Young,Liberal,542
Jonathan Genest-Jourdain,NDP,919
Jonathan Tremblay,NDP,329
Joseph-Achille Verville,Liberal,42
Joseph-Adolphe Richard,Liberal,91
Joseph-Adéodat Blanchette,Liberal,84
Joseph-Aimé Massue,CPC,81
Joseph-Aldric Ouimet,Liberal,230
Joseph Mercier,Liberal,60
Joseph-Alfred Dion,Liberal,97
Joseph-Alfred Mongrain,Liberal,175
Joseph-Alphida Crête,Liberal,94
Joseph-Armand Landry,Liberal,82
Joseph-Arsène Bonnier,Liberal,77
Joseph Arthur Barrette,CPC,44
Arthur Denis,Liberal,56
Joseph-Arthur Labissonnière,CPC,23
Joseph Arthur Lortie,CPC,41
Joseph-Célestin Nadon,Liberal,54
Joseph-Enoil Michaud,Liberal,320
Henri LaRue,CPC,79
Fernand Fafard,Liberal,120
François-Joseph Laflèche,CPC,74
Joseph-Félix Descôteaux,Liberal,126
Joseph Gaspard Boucher,Liberal,30
Joseph-Goderic Blanchet,Liberal,197
Joseph-Guillaume Bossé,CPC,144
Joseph Gédéon Horace Bergeron,CPC,124
Joseph Hector Leduc,Liberal,35
Joseph-Hermas Leclerc,Liberal,102
Joseph Rousseau,Liberal,207
Joseph-Hormisdas Legris,Liberal,67
Joseph-Hyacinthe Bellerose,CPC,110
Joseph Israël Tarte,Liberal,2438
Joseph-Léon Deslières,Liberal,63
Joseph-Léonard Duguay,CPC,84
Joseph-Marcellin Wilson,Liberal,173
Joseph-Mathias Tellier,CPC,342
Joseph-Napoléon Francoeur,Liberal,169
Joseph-Octave Arsenault,CPC,658
Joseph-Octave Beaubien,CPC,158
Joseph-Octave Latour,CPC,44
Joseph Octave Lavallée,CPC,46
Joseph-Octave Villeneuve,CPC,163
Joseph Pierre Turcotte,Liberal,79
Joseph-Théodule Rhéaume,Liberal,35
Joseph Éloi Archambault,Liberal,179
Émmanuel d'Anjou,Liberal,47
Joseph-Étienne Dussault,Liberal,66
Joseph Étienne Letellier de Saint-Just,Liberal,89
Joseph Adélard Dubeau,Liberal,68
Joseph Adélard Descarries,CPC,80
Joseph Alexandre Camille Madore,Liberal,121
Alfred Leduc,Liberal,264
Joseph Archambault,Liberal,180
Joseph Arthur Calixte Éthier,Liberal,188
Joseph Bolduc,CPC,207
Joseph Boutin Bourassa,Liberal,89
Joseph Brunet,Liberal,85
Joseph Charles Walsh,Liberal,170
Joseph Dufresne,CPC,116
Joseph Ernest Oscar Gladu,Liberal,61
Joseph Fontaine,Liberal,134
Joseph Gaudet,CPC,308
Joseph Gauthier,Liberal,171
Joseph Georges Bouchard,Liberal,63
Joseph Girard,CPC,151
Joseph Girouard,CPC,102
Yves Leduc,Liberal,118
Joseph Hormisdas Rainville,CPC,219
Joseph Irenée Rochefort,Liberal,26
Joseph Jean,Liberal,326
Joseph John Tucker,Liberal,119
Joseph Lafontaine,Liberal,40
Joseph P. Landry,Liberal,236
Joseph Langlois,Liberal,115
Joseph Lavergne,Liberal,491
Joseph Leonard O'Brien,CPC,307
Joseph Ovide Brouillard,Liberal,39
Joseph Pierre Octave Guilbault,CPC,113
Ray Frenette,Liberal,893
Joseph Royal,CPC,476
Joseph Shehyn,Liberal,85
Joseph Thauvette,Liberal,38
Charles Van Horne,CPC,981
Josiah Burr Plumb,CPC,134
Josiah Wood,CPC,358
Josée Beaudin,BQ,218
Josée Verner,CPC,3303
Joy Smith,CPC,2534
Joyce Murray,Liberal,25521
Judith Seidman,CPC,868
Judy Junor,NDP,242
Judy Sgro,Liberal,7858
Judy Wasylycia-Leis,NDP,3087
Jules-Joseph-Taschereau Frémont,Liberal,135
Jules-Édouard Prévost,Liberal,66
Jules Desrochers,Liberal,56
Jules Gauthier,Liberal,102
Alfred Dubuc,Liberal,152
Julius Scriver,Liberal,140
Jérôme-Adolphe Chicoyne,CPC,58
Karen Redman,Liberal,2807
Kathleen Casey,Liberal,984
Keith Ashfield,CPC,1468
Keith Martin,Liberal,3361
Keith Milligan,Liberal,991
Kelly Lamrock,NDP,1231
Ken Boshcoff,Liberal,1145
Ken Epp,CPC,499
Ken Krawetz,Liberal,729
Kennedy Francis Burns,Liberal,221
Kennedy Stewart,NDP,36339
Kerry-Lynne Findlay,CPC,8999
Kevin Lamoureux,Liberal,8058
Kevin Sorenson,CPC,2012
Khalil Ramal,Liberal,725
Kim Trew,NDP,230
Kirk MacDonald,CPC,271
Kirsty Duncan,Liberal,14616
LaVar Payne,CPC,705
Larry Bagnell,Liberal,8126
Larry Miller,CPC,1532
Larry Schneider,CPC,906
Larry Smith,CPC,5273
Laureen Harper,CPC,29779
Laurent-Olivier David,Liberal,508
Laurent Lavigne,BQ,164
Laurie Hawn,CPC,1765
Laurin Liu,NDP,3958
Lawrence Alexander Wilson,Liberal,241
Lawrence Geoffrey Power,Liberal,147
Lawrence MacAulay,Liberal,15327
Syl Apps,CPC,14728
Lemuel Owen,CPC,318
Lemuel Cushing,Liberal,86
Leo Housakos,CPC,5747
Léo Kemner Laflamme,Liberal,108
Leo Kolber,Liberal,2609
Leon Benoit,CPC,944
Leon Crestohl,Liberal,210
Leonard Percy de Wolfe Tilley,CPC,752
Leslie Gordon Bell,CPC,347
Lewis Arthur McConville,CPC,68
Liguori Lacombe,Liberal,231
Linda Duncan,NDP,3486
Linda Lapointe,Liberal,2424
Lionel Bertrand,Liberal,119
Lisa MacLeod,CPC,13199
Lise Bacon,Liberal,702
Lise Bourgault,CPC,176
Lise St-Denis,Liberal,1172
Lise Zarac,Liberal,816
Liza Frulla,Liberal,1997
Lloyd St. Amand,Liberal,718
Lorenzo Robitaille,Liberal,45
Louis-Adélard Senécal,CPC,343
Louis-Alphonse Boyer,Liberal,78
Louis Audet Lapointe,Liberal,130
Louis Charles Alphonse Angers,Liberal,280
Louis-Charles Boucher de Niverville,CPC,107
Louis-Georges Desjardins,CPC,214
Louis-Israël Côté dit Fréchette,CPC,120
Louis-Joseph Forget,CPC,429
Louis-Joseph Gauthier,Liberal,292
Louis-Joseph Papineau,Liberal,121
Louis-Joseph Pigeon,CPC,99
Louis-Joseph Riopel,CPC,80
Louis-Napoléon Casault,CPC,198
Louis-Paul Neveu,Liberal,91
Louis-Philippe Gauthier,CPC,86
Louis-Philippe Normand,CPC,223
Louis-Philippe Pelletier,CPC,184
Louis-Philippe Picard,Liberal,191
Louis-Prudent-Alexandre Robichaud,Liberal,104
Louis-Zéphirin Joncas,CPC,49
Louis-Édouard Roberge,Liberal,34
Louis-Éphrem Olivier,Liberal,21
Louis-Étienne Parent,Liberal,30
Louis Adolphe Billy,CPC,94
Louis Archambeault,Liberal,143
Louis Beaubien,CPC,657
Louis Conrad Pelletier,CPC,61
Louis Côté,CPC,129
Louis Delorme,Liberal,200
Louis Duclos,Liberal,163
Louis Fortin,CPC,301
Louis François Georges Baby,CPC,314
Louis George Harper,CPC,49
Louis Gosselin,Liberal,119
Louis Guy LeBlanc,Liberal,76
Louis Huet Massue,CPC,81
Louis Julien Demers,Liberal,91
Louis Lavergne,Liberal,217
Louis-Léon Lesieur Desaulniers,CPC,95
Louis Napoléon Champagne,Liberal,87
Louis Philippe Demers,Liberal,216
Louis Philippe Lizotte,Liberal,79
Louis Plamondon,BQ,9811
Louis Desmarais,Liberal,763
Louis-Alfred-Adhémar Rivet,Liberal,98
Louis Tellier,CPC,230
Louis-de-Gonzague Belley,CPC,194
Louise Chabot,BQ,1253
Louise Thibault,BQ,358
Loyola Hearn,CPC,1957
Luc-Hyacinthe Masson,CPC,85
Luc Desnoyers,BQ,213
Luc Harvey,CPC,1206
Luc Malo,BQ,137
Lucie Pépin,Liberal,414
Lucien Cannon,Liberal,237
Lucien Fortin,CPC,71
Lucien Grenier,CPC,68
Lucien Lamoureux,Liberal,1350
Lucien Moraud,CPC,89
Lucien Turcotte Pacaud,Liberal,122
Lucius Seth Huntington,Liberal,310
Ludger Dionne,Liberal,171
Lui Temelkovski,Liberal,702
Luther Hamilton Holton,Liberal,213
Lynne Yelich,CPC,2214
Lysane Blanchette-Lamothe,NDP,813
Léandre Thibault,Liberal,88
Léo Richer Laflèche,Liberal,647
Léon Raymond,Liberal,140
Léon Mercier Gouin,Liberal,157
Vital Mallette,Liberal,71
Léon Adolphe Chauvin,CPC,49
Léon Balcer,CPC,482
Léonard Tremblay,Liberal,92
Léopold Corriveau,Liberal,83
M. J. Coldwell,NDP,2972
Madeleine Dalphond-Guiral,BQ,203
Madeleine Dubé,CPC,396
Madeleine Meilleur,Liberal,1571
Maka Kotto,BQ,4039
Malcolm Allen,NDP,4473
Manon Perreault,NDP,891
Marc-André Morin,NDP,263
Marc Boulianne,BQ,205
Marc Ferland,CPC,132
Marc Lemay,BQ,312
Marcel-Claude Roy,Liberal,86
Marcel Boivin,Liberal,55
Marcel Bourbonnais,CPC,99
Marcel Deschambault,CPC,70
Marcel Dionne,Liberal,144
Marcel Gagnon,BQ,295
Marcel Lambert,CPC,967
Marcel Lessard,Liberal,310
Marcel Lussier,BQ,249
Marcel Massé,Liberal,942
Marcel Masse,CPC,1408
Marcel Monette,Liberal,54
Marcel Ostiguy,Liberal,135
Marcel Proulx,Liberal,662
Marcel Prud'homme,Liberal,644
Joe Handley,Liberal,757
Margaret-Ann Blaney,CPC,785
Margaret Commodore,NDP,284
Margaret Jean Anderson,Liberal,256
Maria Minna,Liberal,1635
Maria Mourani,BQ,4774
Marie-Claude Blais,CPC,327
Marie-Claude Morin,NDP,566
Marie Gibeau,CPC,239
Marie Joseph Demers,Liberal,92
Marilyn Trenholme Counsell,Liberal,771
Marisa Ferretti Barth,Liberal,1620
Marjolaine Boutin-Sweet,NDP,1332
Marjory LeBreton,CPC,1482
Mark Assad,Liberal,517
Mark Eyking,Liberal,1234
Mark Holland,Liberal,14708
Mark Robert Drouin,CPC,256
Martha Hall Findlay,Liberal,6559
Martial Rhéaume,Liberal,42
Martine Coulombe,CPC,130
Martine Ouellet,BQ,10995
Massimo Pacetti,Liberal,1478
Matthew Dubé,NDP,5905
Matthew Hamilton Gault,CPC,2830
Maud Debien,BQ,123
Maurice Allard,CPC,438
Maurice Bernier,BQ,163
Maurice Boisvert,Liberal,96
Maurice Brasset,Liberal,77
Maurice Breton,Liberal,62
Maurice A. Dionne,Liberal,395
Maurice Dumas,BQ,192
Maurice Dupras,Liberal,77
Maurice Dupré,CPC,113
Maurice Gingues,Liberal,87
Maurice Godin,BQ,197
Maurice Harquail,Liberal,271
Maurice Hartt,Liberal,365
Maurice Johnson,CPC,170
Maurice Lalonde,Liberal,152
Maurice Rinfret,Liberal,66
Maurice Riel,Liberal,226
Maurice Tremblay,CPC,197
Maurice Vellacott,CPC,1048
Mauril Bélanger,Liberal,4611
Maurizio Bevilacqua,Liberal,7529
Maxime Cormier,CPC,61
Maxime Raymond,Liberal,407
Melvin Perry,Liberal,184
Merrill Edwin Barrington,CPC,58
Merv Tweed,CPC,803
Michael Adams,CPC,175
Mike Allen,CPC,430
Michael Cayley,Liberal,123
Michael Chong,CPC,44540
Michael Joseph Francis Quinn,CPC,111
Michael Patrick Ryan,Liberal,414
Michael Savage,Liberal,6664
Michael Thomas Stenson,Liberal,76
Michael Wilson,CPC,8308
Michel-Siméon Delisle,Liberal,91
Michel Auger,Liberal,150
Michel Bellehumeur,BQ,157
Michel Biron,Liberal,2011
Michel Champagne,CPC,157
Michel Côté,CPC,339
Michel Daviault,BQ,52
Michel Dupuy,Liberal,452
Michel Esdras Bernier,Liberal,128
Michel Gauthier,BQ,3201
Michel Gravel,CPC,162
Michel Guimond,BQ,332
Michel Létourneau,BQ,239
Michel Mathieu,CPC,126
Michel Rivard,CPC,325
Michel Veillette,Liberal,120
Michelle Rempel Garner,CPC,58658
Mike Lake,CPC,6462
Mike Olscamp,CPC,144
Mike Schreiner,Green,13640
Mike Wallace,CPC,1745
Milton L. Klein,Liberal,279
Mitchell Hepburn,Liberal,8170
Monique Tardif,CPC,93
Monique Guay,BQ,208
Monte Solberg,CPC,2190
"Max Aitken, 1st Baron Beaverbrook",CPC,114589
Moïse Houde,CPC,84
Muriel McQueen Fergusson,Liberal,761
Murray Cardiff,CPC,307
Murray MacLaren,CPC,322
Edward Blake,Liberal,7190
Mylène Freeman,NDP,1588
Myron Thompson,CPC,1706
Médéric Catudal,Liberal,45
Médéric Martin,Liberal,599
Nancy Charest,Liberal,698
Nancy Guptill,Liberal,222
Nancy Karetak-Lindell,Liberal,2116
Nancy Teed,CPC,311
Napoléon Belcourt,Liberal,646
Napoléon Charbonneau,Liberal,71
Napoléon Kemner Laflamme,Liberal,170
Faucher de Saint-Maurice,CPC,221
Narcisse Lecavalier,CPC,77
Nathan Cullen,NDP,9120
Nathaniel Pettes,Liberal,71
Navdeep Bains,Liberal,70218
Neil McLeod,CPC,1311
Joseph Martin,Liberal,1070
Newton Ramsay Colter,Liberal,77
Nic Leblanc,CPC,270
Nick Discepola,Liberal,508
Nicolas Dufour,BQ,399
Nicole Demers,BQ,192
Nicole Roy-Arcelin,CPC,337
Niki Ashton,NDP,46657
Nina Grewal,CPC,4697
Norbert Thériault,Liberal,226
Norman Doyle,CPC,976
Normand Lapointe,Liberal,244
Noël Dorion,CPC,305
Noël Drouin,CPC,26
Noël Kinsella,CPC,1105
Nycole Turmel,NDP,21231
Nérée Le Noblet Duplessis,CPC,645
Odilon Desmarais,Liberal,79
Odina Desrochers,BQ,274
Olaüs Thérien,CPC,56
Olivia Chow,NDP,48802
Olivier J. Leblanc,Liberal,95
Omar Alghabra,Liberal,96428
Onésime Carignan,CPC,63
Onésiphore Ernest Talbot,Liberal,80
Onésiphore Carbonneau,Liberal,47
Onésiphore Turgeon,Liberal,199
Joseph Oscar Lefebre Boulanger,Liberal,83
Osvaldo Nunez,BQ,1054
Oswald Smith Crocket,CPC,271
Otto Baird Price,CPC,53
Ovide Laflamme,Liberal,94
Jack Pickersgill,Liberal,2600
Pablo Rodríguez,Liberal,2243
Pam Lynch,CPC,272
Pamela Wallin,CPC,15472
Pamphile Réal Du Tremblay,Liberal,261
Conrad Black,CPC,260212
Parm Gill,CPC,9322
Pascal-Pierre Paillé,BQ,366
Pascal Poirier,Liberal,758
Pat Carney,CPC,4010
Patricia Davidson,CPC,545
Pat Duncan,Liberal,2753
Pat Martin,NDP,2870
Pat Murphy,Liberal,382
Patrick Tobin Asselin,Liberal,218
Patrick Brown,CPC,54930
Paul-André Massé,Liberal,136
Paul-Arthur Séguin,Liberal,143
Paul Dubé,Liberal,111
Paul-Émile Côté,Liberal,70
Paul-Émile Lamarche,CPC,182
Paul-Étienne Grandbois,CPC,55
Paul Crête,BQ,316
Paul David,CPC,1502
Paul Dewar,NDP,8118
Paul Lahaye,CPC,50
Paul Langlois,Liberal,436
Paul Lucier,Liberal,473
Paul MacEwan,Liberal,715
Paul Martineau,CPC,311
Paul Mercier,BQ,177
Paul Mullins Gervais,Liberal,118
Paul Steckle,Liberal,1040
Paul Vilmond Savard,Liberal,91
Paul Zed,Liberal,2806
Paula Biggar,Liberal,200
Paule Brunelle,BQ,228
Paulina Ayala,NDP,3011
Pauline Picard,BQ,1852
Peggy Nash,NDP,4386
Percy Downe,Liberal,1715
Percy Mockler,CPC,586
Perrault LaRue,CPC,83
Peter Bercovitch,Liberal,322
Peter Goldring,CPC,1090
Peter Julian,NDP,14705
Peter Kent,CPC,18601
Peter Robert McGibbon,Liberal,77
Peter Stoffer,NDP,2916
Peter Stollery,Liberal,747
Peter Trites,NDP,250
Peter Van Loan,CPC,3973
Peter Veniot,Liberal,670
Phil McNeely,Liberal,366
Philip Carteret Hill,Liberal,518
Philip Toone,NDP,1084
Philippe-Auguste Choquette,Liberal,170
Philippe Baby Casgrain,Liberal,186
Philippe Paré,BQ,121
Philippe Valois,Liberal,105
Philémon Cousineau,CPC,179
Pierre-Alexis Tremblay,Liberal,191
Pierre-Amand Landry,CPC,285
Pierre Basile Benoit,CPC,88
Pierre-Clovis Beauchesne,CPC,48
Pierre-Ernest Boivin,Liberal,80
Pierre-François Casgrain,Liberal,1010
Pierre-Gabriel Huot,Liberal,80
Pierre-Hugues Boisvenu,CPC,1770
Pierre-Julien Leclair,CPC,115
Pierre-Luc Dusseault,NDP,9624
Pierre-Nérée Dorion,Liberal,59
Pierre-Raymond-Léonard Martineau,Liberal,90
Pierre-Samuel Gendron,CPC,70
Pierre-Vincent Valin,CPC,122
Pierre-Émile Côté,Liberal,94
Pierre Blais,CPC,1067
Pierre Caron,Liberal,145
Pierre Claude Nolin,CPC,947
Pierre Deniger,Liberal,89
Pierre Dionne Labelle,NDP,309
Pierre-Étienne Fortin,CPC,375
Pierre Gauthier,Liberal,188
Pierre Gimaïel,Liberal,55
Pierre Grenier,CPC,78
Pierre Cadieux,CPC,953
Pierre H. Vincent,CPC,514
Pierre Jacob,NDP,569
Arthur Cardin,Liberal,450
Pierre Malcom Guay,Liberal,73
David Emerson,CPC,5531
