Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Margaret,Askin,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Jessica,Dale-Walker,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Stephen J,Garvey,National Citizens Alliance of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Judson,Hansell,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Larry,Heather,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Michelle,Rempel Garner,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Kyle,Scott,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Nose Hill,Xinyan,Wang,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,Shahnaz,Jabeen,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,Pat,Kelly,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,Jena,Kieren,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,Rory,MacLeod,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,David,Robinson,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Rocky Ridge,Catriona,Wright,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Andrea,Diaczok,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Jesse,Halmo,National Citizens Alliance of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Rajinder,Jessel,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Tom,Kmiec,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Cameron,Macdonald,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Konstantine,Muirhead,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Evelyn,Tanaka,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Shepard,Ron,Vaillant,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Alberta,Calgary Signal Hill,Ajay,Copp,Maverick Party,Defeated
