Election Type,Election Date,Province / Territory,Constituency,First Name,Last Name,Political Party,Election Result
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver Quadra,Joyce,Murray,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver Quadra,Renate,Siekmann,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver Quadra,Devyani,Singh,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver South,Anthony,Cook,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver South,Sukhbir Singh,Gill,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver South,Anne,Jamieson,Marxist-Leninist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver South,Sean,McQuillan,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Vancouver South,Harjit S.,Sajjan,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Laurel,Collins,New Democratic Party,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Hannah,Hodson,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Nicholas,Loughton,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Nicol,Macdonald,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,John Randal,Phipps,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Jordan,Reichert,Animal Protection Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,Victoria,Janis,Zroback,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Robert Douglas,Bebb,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Terry,Grimwood,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Gordon,Jeffrey,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Avi,Lewis,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Chris,MacGregor,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Mike,Simpson,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,Patrick,Weiler,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,John,Weston,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Brandon—Souris,Tylor,Baer,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Brandon—Souris,Linda,Branconnier,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Brandon—Souris,Whitney,Hodgins,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Brandon—Souris,Larry,Maguire,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Madelaine,Dwyer,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Doug,Eyolfson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Marty,Morantz,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Vanessa,Parks,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Charleswood—St. James—Assiniboia—Headingley,Angela,Van Hussen,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Churchill—Keewatinook Aski,Niki,Ashton,New Democratic Party,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Churchill—Keewatinook Aski,Charlotte,Larocque,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Churchill—Keewatinook Aski,Ralph,McLean,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Churchill—Keewatinook Aski,Shirley,Robinson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Churchill—Keewatinook Aski,Keith,Young,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Kevin,Carlson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Lori,Falloon-Austin,Maverick Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Arthur,Holroyd,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Shirley,Lambrecht,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Dan,Mazier,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Dauphin—Swan River—Neepawa,Donnan,McKenna,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Elmwood—Transcona,Daniel,Blaikie,New Democratic Party,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Elmwood—Transcona,Rejeanne,Caron,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Elmwood—Transcona,Jamie,Cumming,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Elmwood—Transcona,Devlin,Hinchey,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Elmwood—Transcona,Sara,Mirwaldt,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Kildonan—St. Paul,Mary-Jane,Bennett,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Kildonan—St. Paul,Emily,Clark,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Kildonan—St. Paul,Raquel,Dancho,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Kildonan—St. Paul,Sean,Howe,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Portage—Lisgar,Candice,Bergen,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Portage—Lisgar,Andrew,Carrier,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Portage—Lisgar,Jerome,Dondo,Christian Heritage Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Portage—Lisgar,Kenneth,Friesen,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Portage—Lisgar,Solomon,Wiebe,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Ted,Falk,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Noel,Gautron,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Janine,Gibson,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Trevor,Kirczenow,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Richard,Loewen,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Provencher,Serina,Pottinger,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Shola,Agboola,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Scott A,Anderson,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Denis,Berthiaume,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Jean-Denis,Boudreault,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Sébastien,Coriveau,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Matthew,Correia,Veterans Coalition Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Naomi,Crisostomo,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Charles,Currie,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Manon,Desbiens,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Alexandra,Engering,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Scott,Falkingham,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Kerri,Hildebrandt,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Ryan,Huard,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Conrad,Lukawski,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Jane,MacDiarmid,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Laurent,Poliquin,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Eliana,Rosenblum,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Patrick,Strzalkowski,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Tomas,Szuchewycz,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Dan,Vandal,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Saint Boniface—Saint Vital,Meghan,Waters,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Selkirk—Interlake—Eastman,James,Bezan,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Selkirk—Interlake—Eastman,Wayne,James,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Selkirk—Interlake—Eastman,Ian,Kathwaroon,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Selkirk—Interlake—Eastman,Detlev,Regelsky,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Selkirk—Interlake—Eastman,Margaret,Smith,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Bhavni,Bhakoo,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Sabrina,Brenot,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Andrew,Brown,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,James,Buhler,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Leah,Gazan,New Democratic Party,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Paul,Ong,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg Centre,Debra,Wall,Animal Protection Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Angela,Brydges,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Melissa,Chung,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Robert,Crooks,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Anas,Kassem,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Kevin,Lamoureux,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg North,Patrick John Xenon,Neilan,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South,Gregory,Boettcher,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South,Terry,Duguid,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South,Byron Curtis,Gryba,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South,Aiden,Kahanovitch,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South,Melanie,Maher,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Joyce,Bateman,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Jim,Carr,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Douglas,Hemmerling,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Cameron Scott,Popham,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Julia,Riddell,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Manitoba,Winnipeg South Centre,Chase,Wells,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Serge,Cormier,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Richer,Doiron,Free Party Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Mélissa,Hébert,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Rachel,Johns,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Kenneth,Langford,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Acadie—Bathurst,Jean-Paul,Lanteigne,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Stella Anna,Girouard,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Evelyne,Godfrey,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Dominic,LeBlanc,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Jack,Minor,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Shelly,Mitchell,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Beauséjour,Isabelle,Sauriol Chiasson,Free Party Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Jenica,Atwin,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Andrea,Johnson,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Brandon,Kirby,Libertarian Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Nicole,O'Byrne,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Shawn,Oldenburg,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Jacob,Patterson,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fredericton,Jennifer,Smith,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fundy Royal,Whitney,Dykeman,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fundy Royal,Josh,Floyd,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fundy Royal,Rob,Moore,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fundy Royal,Timothy,Thompson,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Fundy Royal,Wayne,Wheeler,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,René,Arseneault,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,Shawn,Beaulieu,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,Louis,Bérubé,Free Party Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,Rebecca,Blaevoet,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,Elizabeth,MacDonald,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Madawaska—Restigouche,Nancy,Mercier,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Miramichi—Grand Lake,Patricia,Deitch,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Miramichi—Grand Lake,Lisa,Harris,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Miramichi—Grand Lake,Joseph,Nowlan,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Miramichi—Grand Lake,Bruce,Potter,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Miramichi—Grand Lake,Jake,Stewart,Conservative Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Moncton—Riverview—Dieppe,Lorilee,Carrier,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Moncton—Riverview—Dieppe,Richard,Dunn,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Moncton—Riverview—Dieppe,Serge,Landry,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Moncton—Riverview—Dieppe,Ginette,Petitpas Taylor,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Moncton—Riverview—Dieppe,Darlene,Smith,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,New Brunswick Southwest,Jason,Hickey,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,New Brunswick Southwest,John,Reist,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,New Brunswick Southwest,Meryl,Sarty,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,New Brunswick Southwest,Richard,Warren,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,New Brunswick Southwest,John,Williamson,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Saint John—Rothesay,Donald,Durant Paulin,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Saint John—Rothesay,Wayne,Long,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Saint John—Rothesay,Ann,McAllister,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Saint John—Rothesay,Mel,Norton,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Saint John—Rothesay,Nicholas,Pereira,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Richard,Bragdon,Conservative Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Steven,LaForest,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Anthony,Martin,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Meriet,Miller,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Cully,Robinson,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,New Brunswick,Tobique—Mactaquac,Daniel,Waggoner,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Avalon,Matthew,Chapman,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Avalon,Carolyn,Davis,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Avalon,Ken,McDonald,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Avalon,Magdalena,Stewart-Rideout,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Bonavista—Burin—Trinity,Anne Marie,Anonsen,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Bonavista—Burin—Trinity,Linda,Hogan,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Bonavista—Burin—Trinity,Churence,Rogers,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Bonavista—Burin—Trinity,Sharon,Vokey,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Coast of Bays—Central—Notre Dame,Jamie,Ruby,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Coast of Bays—Central—Notre Dame,Scott,Simms,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Coast of Bays—Central—Notre Dame,Clifford,Small,Conservative Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Labrador,Shannon,Champion,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Labrador,Shane,Dumaresque,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Labrador,Yvonne,Jones,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Labrador,Amy,Norman,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Long Range Mountains,Carol,Anstey,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Long Range Mountains,Gudie,Hutchings,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Long Range Mountains,Kaila,Mintz,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,Long Range Mountains,Darrell,Shelley,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's East,Glenn,Etchegary,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's East,Dana,Metcalfe,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's East,Mary,Shortall,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's East,Joanne,Thompson,Liberal Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's South—Mount Pearl,Raymond,Critch,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's South—Mount Pearl,Steve,Hodder,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's South—Mount Pearl,Seamus,O'Regan,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Newfoundland and Labrador,St. John's South—Mount Pearl,Georgia,Stewart,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Northwest Territories,Northwest Territories,Jane,Groenewegen,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Northwest Territories,Northwest Territories,Kelvin,Kotchilea,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Northwest Territories,Northwest Territories,Roland,Laufer,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Northwest Territories,Northwest Territories,Michael,McLeod,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Northwest Territories,Northwest Territories,Lea,Mollison,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cape Breton—Canso,Brad,Grandy,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cape Breton—Canso,Mike,Kelloway,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cape Breton—Canso,Fiona,MacLeod,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cape Breton—Canso,Jana,Reddick,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,John Steven,Cotter,Conservative Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Sean,Fraser,Liberal Party of Canada,Re-Elected
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Christopher,Frazer,Communist Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Harvey,Henderson,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Teresa,MacDonald,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,James,Muir,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Katerina,Nikas,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Central Nova,Jeffrey,Smyth,Parti Rhinocéros Party,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,William,Archer,People's Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,Stephen,Ellis,Conservative Party of Canada,Elected
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,Jillian,Foster,Green Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,Jody,O'Blenis,Independent,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,Daniel,Osborne,New Democratic Party,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Cumberland—Colchester,Lenore,Zann,Liberal Party of Canada,Defeated
General Election,2021-09-20 12:00:00 AM,Nova Scotia,Dartmouth—Cole Harbour,Darren,Fisher,Liberal Party of Canada,Re-Elected
